"","date","week_id","median","CrI.low","CrI.upp","OR.med","OR.CrI.low","OR.CrI.upp","Group"
"81",2021-07-19,81,0.0768139090489433,0.00626918373278086,0.152033300194849,1.07984110903511,1.0062888761955,1.1641990038403,"HospAgg1 - SES"
"82",2021-07-26,82,0.08703854020375,0.028601106866486,0.160784557088912,1.09093872390877,1.02901404596086,1.1744319185245,"HospAgg1 - SES"
"83",2021-08-02,83,0.105249388669593,0.0495898809602248,0.172391186769393,1.11098764354016,1.050840038482,1.18814252795385,"HospAgg1 - SES"
"84",2021-08-09,84,0.139194814331183,0.088148080035207,0.219567752168659,1.14934798765415,1.09214983564074,1.24553823301349,"HospAgg1 - SES"
"85",2021-08-16,85,0.179294936971215,0.11301933661059,0.251143951858734,1.19637354692841,1.1196535830446,1.28549512042471,"HospAgg1 - SES"
"86",2021-08-23,86,0.22203272263076,0.155747758833149,0.284441134215996,1.24861223507293,1.16853141418507,1.32901907724734,"HospAgg1 - SES"
"87",2021-08-30,87,0.250071498530556,0.179611769099782,0.328211437876415,1.2841172259003,1.19675265655973,1.38848251905013,"HospAgg1 - SES"
"88",2021-09-06,88,0.284824446328614,0.214767991265936,0.345097619239138,1.3295286040052,1.23957427154403,1.4121277637773,"HospAgg1 - SES"
"89",2021-09-13,89,0.289484319969396,0.20799769951603,0.366904820650284,1.33573849672234,1.23121033716597,1.4432605439776,"HospAgg1 - SES"
"90",2021-09-20,90,0.287614496049587,0.214534886100696,0.344092606421165,1.33324323450805,1.23928535405402,1.4107092701956,"HospAgg1 - SES"
"91",2021-09-27,91,0.288886165594911,0.221647032541621,0.372838409562813,1.33493975780576,1.24813075056656,1.45184971584648,"HospAgg1 - SES"
"92",2021-10-04,92,0.268359208469392,0.202986256928513,0.334745339066245,1.30781683453414,1.22505563210468,1.39758442974453,"HospAgg1 - SES"
"93",2021-10-11,93,0.214201363818828,0.145598082525863,0.2791438095212,1.23887209369445,1.15673118413467,1.3219974460197,"HospAgg1 - SES"
"94",2021-10-18,94,0.166009236862035,0.0916725277387527,0.226055090479211,1.1805840065645,1.09600585179299,1.25364472726463,"HospAgg1 - SES"
"95",2021-10-25,95,0.186858717195002,0.127487241779386,0.243447039143441,1.2054569626774,1.13597037518805,1.27563875713041,"HospAgg1 - SES"
"96",2021-11-01,96,0.206645757929522,0.15389823419213,0.26606240745028,1.22954693737245,1.16637218393102,1.30481648641605,"HospAgg1 - SES"
