"","date","week_id","median","CrI.low","CrI.upp","OR.med","OR.CrI.low","OR.CrI.upp","Group"
"1",2020-06-01,1,0.0294951128466924,-0.043819997192834,0.110010530287492,1.02993440201227,0.957126227375788,1.11628982524977,"InfsAgg3 - SES"
"2",2020-06-08,2,0.0225895279002025,-0.0289041492090631,0.0720639620863237,1.02284660337401,0.971509579965579,1.07472408346003,"InfsAgg3 - SES"
"3",2020-06-15,3,-0.00626025159072917,-0.0570979054381707,0.0403687558196924,0.993759302957518,0.944501592997312,1.04119464999644,"InfsAgg3 - SES"
"4",2020-06-22,4,-0.00868969165561957,-0.06618084687408,0.0431809084074344,0.991347954591238,0.935961583258516,1.04412676907658,"InfsAgg3 - SES"
"5",2020-06-29,5,-0.0225293606066772,-0.077433250149764,0.0340175724420778,0.977722530245262,0.925488798573605,1.03460278706593,"InfsAgg3 - SES"
"6",2020-07-06,6,-0.0214427912675342,-0.066163824970258,0.0353552859369581,0.978785470943623,0.935977515242163,1.03598771528809,"InfsAgg3 - SES"
"7",2020-07-13,7,-0.0502480047068955,-0.106304027174708,-0.00806234664162747,0.950993544377,0.899151240105139,0.991970066906809,"InfsAgg3 - SES"
"8",2020-07-20,8,-0.0306572805324323,-0.0800713922417088,0.0235078222894531,0.969807888170424,0.923050445393747,1.02378630906816,"InfsAgg3 - SES"
"9",2020-07-27,9,-0.020367484945401,-0.0662938838140004,0.00584263210313645,0.979838531228262,0.93585579100459,1.00585973356772,"InfsAgg3 - SES"
"10",2020-08-03,10,-0.0516994991017409,-0.084705758450188,-0.0143457937340852,0.949614183886986,0.918782588644961,0.985756616859536,"InfsAgg3 - SES"
"11",2020-08-10,11,-0.0544963562453926,-0.0883110790494297,-0.0167833922578119,0.946961959348541,0.915476047004866,0.983356664234367,"InfsAgg3 - SES"
"12",2020-08-17,12,-0.0443497862440298,-0.0772514823688935,-0.0179368630065295,0.956619286677585,0.925657037908525,0.982223045010613,"InfsAgg3 - SES"
"13",2020-08-24,13,-0.0499561338520202,-0.0786645579152,-0.0249513949357119,0.951271152186622,0.924349938316724,0.975357318181388,"InfsAgg3 - SES"
"14",2020-08-31,14,-0.0547113275996502,-0.0840093485651047,-0.0297759799573526,0.946758411532968,0.919422660772345,0.970662957151034,"InfsAgg3 - SES"
"15",2020-09-07,15,-0.0345112481926806,-0.0569089540207285,-0.0090107336675219,0.966077472999816,0.944680074773747,0.991029741332047,"InfsAgg3 - SES"
"16",2020-09-14,16,-0.0067553326092292,-0.0331228051330775,0.0123286129638811,0.993267433357364,0.967419748182939,1.01240492359163,"InfsAgg3 - SES"
"17",2020-09-21,17,0.026740938523501,0.0103899113689773,0.0447020625262195,1.02710168581541,1.01044407391694,1.04571625543226,"InfsAgg3 - SES"
"18",2020-09-28,18,-0.0148534213330065,-0.0317174652460521,-4.47820008589935e-05,0.985256346581242,0.968780257507652,0.99995521900184,"InfsAgg3 - SES"
"19",2020-10-05,19,-0.0339787556790035,-0.0488640819305412,-0.0157124229430687,0.966592039010936,0.952310557114992,0.984410373191476,"InfsAgg3 - SES"
"20",2020-10-12,20,-0.064951746084931,-0.0785975851809279,-0.0535482604870532,0.937112681642166,0.924411846632579,0.947860195705264,"InfsAgg3 - SES"
"21",2020-10-19,21,-0.061620353067776,-0.0746886669979429,-0.0491991378391101,0.940239778187784,0.928032368460228,0.951991533284432,"InfsAgg3 - SES"
"22",2020-10-26,22,-0.0502081935961762,-0.0672722087244994,-0.0390599886319493,0.951031405239925,0.934940667688574,0.96169301676751,"InfsAgg3 - SES"
"23",2020-11-02,23,-0.0234608614088825,-0.0413404930329319,-0.00822460472715922,0.976812204974188,0.95950237044907,0.99180912480028,"InfsAgg3 - SES"
"24",2020-11-09,24,-0.031186562203094,-0.0498936208776151,-0.0154511016356135,0.969294722447738,0.951330620834572,0.984667654212313,"InfsAgg3 - SES"
"25",2020-11-16,25,-0.0329502205268139,-0.0529783825016552,-0.0184061755279907,0.967586724347614,0.948400514307247,0.981762183589199,"InfsAgg3 - SES"
"26",2020-11-23,26,-0.0298377913151966,-0.0459336979009684,-0.0119643074188747,0.970602961009884,0.955105285576685,0.988106980321089,"InfsAgg3 - SES"
"27",2020-11-30,27,-0.0222431731661515,-0.0374275005578405,-0.00946960891713466,0.978002382196884,0.963264251310215,0.990575086634991,"InfsAgg3 - SES"
"28",2020-12-07,28,-0.0280453361789373,-0.0417823626781302,-0.0128465302028091,0.972344283427546,0.959078489134113,0.98723563424728,"InfsAgg3 - SES"
"29",2020-12-14,29,-0.020074805702201,-0.0318141138425915,-0.00480185982577304,0.980125351599177,0.968686630779927,0.995209650671818,"InfsAgg3 - SES"
"30",2020-12-21,30,-0.0080172741990636,-0.0195680368096797,0.00744513051945023,0.992014778428296,0.980622174514706,1.00747291441245,"InfsAgg3 - SES"
"31",2020-12-28,31,0.0341335729458805,0.0181006469539424,0.0443233481400768,1.0347228084716,1.01826545654906,1.04532030262375,"InfsAgg3 - SES"
"32",2021-01-04,32,0.0602151722378174,0.0425686879968863,0.0752788967920273,1.06206504887407,1.04348772899401,1.07818481124115,"InfsAgg3 - SES"
"33",2021-01-11,33,0.0758278762986118,0.0592907818532618,0.0911851503625245,1.07877687510742,1.06108373978134,1.09547181348628,"InfsAgg3 - SES"
"34",2021-01-18,34,0.0583693574086331,0.0421637900053713,0.0733094494032044,1.06010648158965,1.04306530843276,1.07606347259808,"InfsAgg3 - SES"
