"","week_id","lvl_SES","lvl_MBG","q2","q1","q3","level","level.r","date"
"53",14,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-04-06
"54",14,1,3,1.12845855644543,1.07986682090508,1.17885488340526,"1.3","Type 2: Low % - High %",2020-04-06
"55",14,3,1,1.03757812732548,0.986225803267852,1.10704067229184,"3.1","Type 3: High % - Low %",2020-04-06
"56",14,3,3,1.17142502898734,1.12652552872846,1.22429323206873,"3.3","Type 1: High % - High %",2020-04-06
"57",15,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-04-13
"58",15,1,3,1.16049807029446,1.10524109609922,1.22350042527381,"1.3","Type 2: Low % - High %",2020-04-13
"59",15,3,1,1.04772784932209,0.992645653067343,1.10657326640684,"3.1","Type 3: High % - Low %",2020-04-13
"60",15,3,3,1.22005661545431,1.16626057000404,1.28247579348355,"3.3","Type 1: High % - High %",2020-04-13
"61",16,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-04-20
"62",16,1,3,1.20583208075039,1.14379882337533,1.29046479445644,"1.3","Type 2: Low % - High %",2020-04-20
"63",16,3,1,1.06073840680493,0.988654333040675,1.13372443258498,"3.1","Type 3: High % - Low %",2020-04-20
"64",16,3,3,1.28130529224762,1.20438004388192,1.35488507569748,"3.3","Type 1: High % - High %",2020-04-20
"65",17,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-04-27
"66",17,1,3,1.23553490262535,1.16195103225226,1.3062989630558,"1.3","Type 2: Low % - High %",2020-04-27
"67",17,3,1,1.06255240884035,0.989678516757382,1.14885527931018,"3.1","Type 3: High % - Low %",2020-04-27
"68",17,3,3,1.3125107569218,1.24070821557806,1.38675650581916,"3.3","Type 1: High % - High %",2020-04-27
"69",18,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-05-04
"70",18,1,3,1.25130435162062,1.15621944154085,1.330222312094,"1.3","Type 2: Low % - High %",2020-05-04
"71",18,3,1,1.08280014960759,1.01389519268111,1.16120242347273,"3.1","Type 3: High % - Low %",2020-05-04
"72",18,3,3,1.33975955173314,1.25416653297486,1.44711290151104,"3.3","Type 1: High % - High %",2020-05-04
