"","week_id","lvl_SES","lvl_MBG","q2","q1","q3","level","level.r","date"
"53",14,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-04-06
"54",14,1,3,1.12365194809901,1.0739613628729,1.17858629825461,"1.3","Type 2: Low % - High %",2020-04-06
"55",14,3,1,1.04178307767153,0.989318885178475,1.10378646140004,"3.1","Type 3: High % - Low %",2020-04-06
"56",14,3,3,1.1698631402415,1.11767188493834,1.22368996564868,"3.3","Type 1: High % - High %",2020-04-06
"57",15,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-04-13
"58",15,1,3,1.1598713151511,1.10501471859559,1.23277094570716,"1.3","Type 2: Low % - High %",2020-04-13
"59",15,3,1,1.04701786271067,0.990993909614492,1.11576996777942,"3.1","Type 3: High % - Low %",2020-04-13
"60",15,3,3,1.22073817818521,1.16130475393499,1.28979450059624,"3.3","Type 1: High % - High %",2020-04-13
"61",16,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-04-20
"62",16,1,3,1.21109424289591,1.13701787198976,1.28354837675627,"1.3","Type 2: Low % - High %",2020-04-20
"63",16,3,1,1.05636292107796,0.98658128930402,1.12540976298568,"3.1","Type 3: High % - Low %",2020-04-20
"64",16,3,3,1.2718570668102,1.20772146020521,1.36754099824211,"3.3","Type 1: High % - High %",2020-04-20
"65",17,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-04-27
"66",17,1,3,1.23453363244206,1.15778015399707,1.32559168356683,"1.3","Type 2: Low % - High %",2020-04-27
"67",17,3,1,1.05958131657032,0.9795463820673,1.13242071602779,"3.1","Type 3: High % - Low %",2020-04-27
"68",17,3,3,1.31217053370905,1.2265724501932,1.39626526358864,"3.3","Type 1: High % - High %",2020-04-27
"69",18,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-05-04
"70",18,1,3,1.25360404526978,1.16441462513879,1.33525779670362,"1.3","Type 2: Low % - High %",2020-05-04
"71",18,3,1,1.07658107445857,1.00468693693117,1.15869469495209,"3.1","Type 3: High % - Low %",2020-05-04
"72",18,3,3,1.34703418319178,1.27621485247213,1.43011601725316,"3.3","Type 1: High % - High %",2020-05-04
"73",19,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-05-11
"74",19,1,3,1.26359029843537,1.1414146217436,1.35391955325713,"1.3","Type 2: Low % - High %",2020-05-11
"75",19,3,1,1.08088676282373,1.00753430123604,1.19190610326131,"3.1","Type 3: High % - Low %",2020-05-11
"76",19,3,3,1.35950126066191,1.26986041711575,1.47290164351834,"3.3","Type 1: High % - High %",2020-05-11
"77",20,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-05-18
"78",20,1,3,1.25842287827762,1.16594627366892,1.36869295907687,"1.3","Type 2: Low % - High %",2020-05-18
"79",20,3,1,1.08170380445154,0.958023458738014,1.17851894729192,"3.1","Type 3: High % - Low %",2020-05-18
"80",20,3,3,1.36182139275757,1.2622371021015,1.48663850580896,"3.3","Type 1: High % - High %",2020-05-18
"81",21,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-05-25
"82",21,1,3,1.28088750250163,1.18253905922199,1.37840796107028,"1.3","Type 2: Low % - High %",2020-05-25
"83",21,3,1,1.05661100436825,0.957315278365633,1.16910517493615,"3.1","Type 3: High % - Low %",2020-05-25
"84",21,3,3,1.33881149348283,1.24907702053588,1.46168540396414,"3.3","Type 1: High % - High %",2020-05-25
"85",22,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-06-01
"86",22,1,3,1.28948851926057,1.19349714679885,1.41431031351786,"1.3","Type 2: Low % - High %",2020-06-01
"87",22,3,1,1.05130437586713,0.938645284637588,1.1507797344839,"3.1","Type 3: High % - Low %",2020-06-01
"88",22,3,3,1.3594707323511,1.22663412522323,1.47611270673148,"3.3","Type 1: High % - High %",2020-06-01
"89",23,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-06-08
