"","week_id","lvl_SES","lvl_MBG","q2","q1","q3","level","level.r","date"
"53",14,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-08-31
"54",14,1,3,1.38582308313723,1.35155994397821,1.4169224567526,"1.3","Type 2: Low % - High %",2020-08-31
"55",14,3,1,0.943940107376749,0.915218662512794,0.969091148409597,"3.1","Type 3: High % - Low %",2020-08-31
"56",14,3,3,1.30555945945875,1.27626381201133,1.32909433701884,"3.3","Type 1: High % - High %",2020-08-31
"57",15,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-09-07
"58",15,1,3,1.32823637916344,1.30048090741364,1.35942320291885,"1.3","Type 2: Low % - High %",2020-09-07
"59",15,3,1,0.964380429161765,0.941943450813359,0.990575827505267,"3.1","Type 3: High % - Low %",2020-09-07
"60",15,3,3,1.28214267518601,1.25834181035016,1.31170785553008,"3.3","Type 1: High % - High %",2020-09-07
"61",16,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-09-14
"62",16,1,3,1.25192727461254,1.23035782716432,1.27647077592737,"1.3","Type 2: Low % - High %",2020-09-14
"63",16,3,1,0.992975443853523,0.966024994236258,1.01294785509501,"3.1","Type 3: High % - Low %",2020-09-14
"64",16,3,3,1.24273501445339,1.21877197216643,1.26865393387012,"3.3","Type 1: High % - High %",2020-09-14
"65",17,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-09-21
"66",17,1,3,1.1681059459827,1.15012734386125,1.18526553121709,"1.3","Type 2: Low % - High %",2020-09-21
"67",17,3,1,1.02805437174255,1.01080805952703,1.04733505336441,"3.1","Type 3: High % - Low %",2020-09-21
"68",17,3,3,1.20173275218492,1.18428198506759,1.2171688610018,"3.3","Type 1: High % - High %",2020-09-21
"69",18,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-09-28
"70",18,1,3,1.14869201348442,1.13194857389914,1.16682609385178,"1.3","Type 2: Low % - High %",2020-09-28
"71",18,3,1,0.984951133319333,0.968136955629462,0.999954294173557,"3.1","Type 3: High % - Low %",2020-09-28
"72",18,3,3,1.13182539293287,1.11866759140922,1.14686869628216,"3.3","Type 1: High % - High %",2020-09-28
"73",19,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-10-05
"74",19,1,3,1.10405769017666,1.08741302677116,1.12056497997612,"1.3","Type 2: Low % - High %",2020-10-05
"75",19,3,1,0.966861075182946,0.952665994105774,0.984547057762901,"3.1","Type 3: High % - Low %",2020-10-05
"76",19,3,3,1.06827338350233,1.05607841599352,1.08111226085359,"3.3","Type 1: High % - High %",2020-10-05
"77",20,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-10-12
"78",20,1,3,1.10053452087572,1.08826175644369,1.11645911548372,"1.3","Type 2: Low % - High %",2020-10-12
"79",20,3,1,0.938767705472187,0.926375904970984,0.949260187794326,"3.1","Type 3: High % - Low %",2020-10-12
"80",20,3,3,1.0342181056482,1.0254491107746,1.04518568076257,"3.3","Type 1: High % - High %",2020-10-12
"81",21,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-10-19
"82",21,1,3,1.09499762872057,1.0828273045632,1.10894227755036,"1.3","Type 2: Low % - High %",2020-10-19
"83",21,3,1,0.942871354669558,0.931170115631687,0.954143605328315,"3.1","Type 3: High % - Low %",2020-10-19
"84",21,3,3,1.0335865965178,1.02180203174094,1.04303571540806,"3.3","Type 1: High % - High %",2020-10-19
"85",22,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-10-26
"86",22,1,3,1.07630697425304,1.06322172748848,1.09154335843173,"1.3","Type 2: Low % - High %",2020-10-26
"87",22,3,1,0.952774855412044,0.937201236190461,0.963064854906523,"3.1","Type 3: High % - Low %",2020-10-26
"88",22,3,3,1.0240182961044,1.01472454910767,1.03726088272594,"3.3","Type 1: High % - High %",2020-10-26
"89",23,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-11-02
"90",23,1,3,1.06472517310355,1.05118140418527,1.0835332549821,"1.3","Type 2: Low % - High %",2020-11-02
"91",23,3,1,0.977043520073003,0.959879661391559,0.991891537252015,"3.1","Type 3: High % - Low %",2020-11-02
"92",23,3,3,1.03921430370248,1.02564638131478,1.05373462682221,"3.3","Type 1: High % - High %",2020-11-02
"93",24,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-11-09
"94",24,1,3,1.05098453385495,1.03723046358301,1.0701031121503,"1.3","Type 2: Low % - High %",2020-11-09
"95",24,3,1,0.969320500103846,0.951367475701979,0.984687717219123,"3.1","Type 3: High % - Low %",2020-11-09
"96",24,3,3,1.0197082960606,1.00821999512163,1.03244891100605,"3.3","Type 1: High % - High %",2020-11-09
"97",25,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-11-16
"98",25,1,3,1.01151899899348,0.995742115993362,1.03087661362091,"1.3","Type 2: Low % - High %",2020-11-16
"99",25,3,1,0.967602930618496,0.948380529219607,0.98176699361812,"3.1","Type 3: High % - Low %",2020-11-16
"100",25,3,3,0.978070844670823,0.964555839530019,0.991761787547726,"3.3","Type 1: High % - High %",2020-11-16
"101",26,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-11-23
"102",26,1,3,0.986307668597924,0.970517303992913,0.999526626102813,"1.3","Type 2: Low % - High %",2020-11-23
"103",26,3,1,0.970537548440866,0.954982460392832,0.988078922163613,"3.1","Type 3: High % - Low %",2020-11-23
"104",26,3,3,0.957800955531494,0.945672762193051,0.97142989087437,"3.3","Type 1: High % - High %",2020-11-23
"105",27,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-11-30
"106",27,1,3,0.959256211840725,0.944051709836244,0.977116992014035,"1.3","Type 2: Low % - High %",2020-11-30
"107",27,3,1,0.978313401650362,0.963761225738425,0.990713792431763,"3.1","Type 3: High % - Low %",2020-11-30
"108",27,3,3,0.939891517766927,0.928733535143392,0.949029292825872,"3.3","Type 1: High % - High %",2020-11-30
"109",28,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-12-07
"110",28,1,3,0.935045962847304,0.92141935714666,0.94557556541717,"1.3","Type 2: Low % - High %",2020-12-07
"111",28,3,1,0.973617515939066,0.960907952574521,0.987825802738096,"3.1","Type 3: High % - Low %",2020-12-07
"112",28,3,3,0.908765468926392,0.89986737073818,0.921160103421287,"3.3","Type 1: High % - High %",2020-12-07
"113",29,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-12-14
"114",29,1,3,0.907372689439438,0.895046582027229,0.917013534546698,"1.3","Type 2: Low % - High %",2020-12-14
"115",29,3,1,0.981678010582896,0.971106029884788,0.995592115076039,"3.1","Type 3: High % - Low %",2020-12-14
"116",29,3,3,0.89076818886719,0.880994274992895,0.899282431192867,"3.3","Type 1: High % - High %",2020-12-14
"117",30,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-12-21
"118",30,1,3,0.875991259480143,0.865832386134387,0.889100472523662,"1.3","Type 2: Low % - High %",2020-12-21
